🕘️更新时间,#genre#
2025-08-11 06:42:42,http://120.9.52.56:8809/rtp/239.253.92.83:8012

📺央视频道,#genre#
CCTV-1,http://120.9.52.56:8809/rtp/239.253.92.83:8012
CCTV-1,http://dsm.ccb912.top:9998/udp/239.93.0.184:5140
CCTV-1,http://58.19.180.108:9981/stream/channelid/1198995092?profile=pass
CCTV-2,http://43.138.196.212/111.php?id=cctv2
CCTV-2,http://dsm.ccb912.top:9998/udp/239.93.1.23:6000
CCTV-3,http://58.56.171.146:51790/tsfile/live/0003_1.m3u8
CCTV-3,http://103.114.90.82:9901/tsfile/live/1052_1.m3u8
CCTV-3,http://home.yulei.online:9999/rtp/226.0.2.208:9576
CCTV-4,http://120.9.52.56:8809/rtp/239.253.92.251:6141
CCTV-4,http://113.100.73.223:8899/rtp/239.77.1.163:5146
CCTV-4,http://dsm.ccb912.top:9998/udp/239.93.1.105:5140
CCTV-5,http://120.9.52.56:8809/rtp/239.253.92.181:6046
CCTV-5,http://43.138.196.212/111.php?id=cctv5
CCTV-5,https://ldcctvwbcdbd.a.bdydns.com/ldcctvwbcd/cdrmldcctv5plus_1/index.m3u8
CCTV-5,https://ldcctvwbcdtxy.liveplay.myqcloud.com/ldcctvwbcd/cdrmldcctv5plus_1/index.m3u8
CCTV-5,http://dsm.ccb912.top:9998/udp/239.93.42.37:5140
CCTV-5+,http://58.56.171.146:51790/tsfile/live/0006_1.m3u8
CCTV-5+,http://120.9.52.56:8809/rtp/239.253.92.82:8013
CCTV-5+,http://dsm.ccb912.top:9998/udp/239.93.1.36:8004
CCTV-6,http://120.9.52.56:8809/rtp/239.253.92.193:6058
CCTV-6,http://116.237.148.215:8881/rtp/239.45.1.70:5140
CCTV-6,http://113.100.73.223:8899/rtp/239.77.0.171:5146
CCTV-7,http://58.56.171.146:51790/tsfile/live/0008_1.m3u8
CCTV-7,http://43.138.196.212/111.php?id=cctv7
CCTV-7,http://113.100.73.223:8899/rtp/239.77.1.159:5146
CCTV-7,http://dsm.ccb912.top:9998/udp/239.93.1.67:5140
CCTV-8,http://dsm.ccb912.top:9998/udp/239.93.42.39:5140
CCTV-9,http://58.56.171.146:51790/tsfile/live/0010_1.m3u8
CCTV-9,http://dsm.ccb912.top:9998/udp/239.93.1.24:5140
CCTV-10,http://58.56.171.146:51790/tsfile/live/0011_1.m3u8
CCTV-10,http://dsm.ccb912.top:9998/udp/239.93.1.28:5140
CCTV-11,http://58.56.171.146:51790/tsfile/live/0012_1.m3u8
CCTV-11,http://120.9.52.56:8809/rtp/239.253.93.153:6321
CCTV-11,http://113.100.73.223:8899/rtp/239.77.1.238:5146
CCTV-11,http://103.114.90.82:9901/tsfile/live/1003_1.m3u8
CCTV-11,http://dsm.ccb912.top:9998/udp/239.93.0.102:5140
CCTV-12,http://120.9.52.56:8809/rtp/239.253.92.197:6062
CCTV-12,http://58.56.171.146:51790/tsfile/live/0013_1.m3u8
CCTV-12,http://dsm.ccb912.top:9998/udp/239.93.1.30:8124
CCTV-13,http://120.9.52.56:8809/rtp/239.253.92.13:8008
CCTV-13,http://dsm.ccb912.top:9998/udp/239.93.0.66:5140
CCTV-14,rtmp://weishi.hyuui.top/weishi/1234_cctv14
CCTV-14,http://dsm.ccb912.top:9998/udp/239.93.1.29:6000
CCTV-15,http://120.9.52.56:8809/rtp/239.253.93.154:6322
CCTV-15,http://dsm.ccb912.top:9998/udp/239.93.0.103:5140
CCTV-17,http://116.237.148.215:8881/rtp/239.45.3.52:5140
CCTV-17,http://43.138.196.212/111.php?id=cctv17
CCTV-17,http://dsm.ccb912.top:9998/udp/239.93.0.92:5140

💰央视付费频道,#genre#
风云剧场,http://dassby.qqff.top:99/live/风云剧场/index.m3u8
风云剧场,rtsp://115.153.245.70/PLTV/88888888/224/3221226963/86128874.smil
风云剧场,rtsp://115.153.247.80/PLTV/88888888/224/3221226963/86128874.smil
风云剧场,rtsp://115.153.222.112:554/PLTV/88888888/224/3221226963/86128874.smil
风云剧场,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000409?AuthInfo=xxx&userid=gf001&userid=gf001
怀旧剧场,http://dassby.qqff.top:99/live/怀旧剧场/index.m3u8
怀旧剧场,rtsp://115.153.245.70/PLTV/88888888/224/3221226996/86128881.smil
怀旧剧场,rtsp://115.153.247.80/PLTV/88888888/224/3221226996/86128881.smil
怀旧剧场,rtsp://115.153.222.112:554/PLTV/88888888/224/3221226996/86128881.smil
女性时尚,http://dassby.qqff.top:99/live/女性时尚/index.m3u8
高尔夫网球,rtsp://115.153.245.70/PLTV/88888888/224/3221226967/86128985.smil
高尔夫网球,rtsp://115.153.247.80/PLTV/88888888/224/3221226967/86128985.smil
